[-0.965555, -0.905555] ; [0.98222, 1.04222] ; [1.21948, 1.27948]
[-0.963993, -0.903993] ; [0.98228, 1.04228] ; [1.21876, 1.27876]
[-0.962455, -0.902455] ; [0.98225, 1.04225] ; [1.21803, 1.27803]
[-0.959103, -0.899103] ; [0.98238, 1.04238] ; [1.21671, 1.27671]
[-0.957394, -0.897394] ; [0.98239, 1.04239] ; [1.21603, 1.27603]
[-0.955579, -0.895579] ; [0.98249, 1.04249] ; [1.2154, 1.2754]
[-0.95369, -0.89369] ; [0.98251, 1.04251] ; [1.21478, 1.27478]
[-0.951832, -0.891832] ; [0.98254, 1.04254] ; [1.21413, 1.27413]
[-0.949856, -0.889856] ; [0.98262, 1.04262] ; [1.21351, 1.27351]
[-0.947821, -0.887821] ; [0.98261, 1.04261] ; [1.21285, 1.27285]
[-0.945719, -0.885719] ; [0.98267, 1.04267] ; [1.21231, 1.27231]
[-0.943656, -0.883656] ; [0.98277, 1.04277] ; [1.21174, 1.27174]
[-0.941514, -0.881514] ; [0.98285, 1.04285] ; [1.21116, 1.27116]
[-0.939348, -0.879348] ; [0.98291, 1.04291] ; [1.21071, 1.27071]
[-0.937114, -0.877114] ; [0.98298, 1.04298] ; [1.21015, 1.27015]
[-0.934804, -0.874804] ; [0.98312, 1.04312] ; [1.20964, 1.26964]
[-0.93252, -0.87252] ; [0.98314, 1.04314] ; [1.2092, 1.2692]
[-0.930147, -0.870147] ; [0.98328, 1.04328] ; [1.20872, 1.26872]
[-0.927764, -0.867764] ; [0.98328, 1.04328] ; [1.20827, 1.26827]
[-0.925307, -0.865307] ; [0.98336, 1.04336] ; [1.20779, 1.26779]
[-0.922892, -0.862892] ; [0.98351, 1.04351] ; [1.20738, 1.26738]
[-0.917798, -0.857798] ; [0.98371, 1.04371] ; [1.20656, 1.26656]
[-0.91519, -0.85519] ; [0.98371, 1.04371] ; [1.20621, 1.26621]
[-0.912601, -0.852601] ; [0.98393, 1.04393] ; [1.20579, 1.26579]
[-0.909883, -0.849883] ; [0.98399, 1.04399] ; [1.2055, 1.2655]
[-0.907156, -0.847156] ; [0.98416, 1.04416] ; [1.20503, 1.26503]
[-0.904454, -0.844454] ; [0.98427, 1.04427] ; [1.2048, 1.2648]
[-0.901271, -0.841271] ; [0.98426, 1.04426] ; [1.20383, 1.26383]
[-0.898851, -0.838851] ; [0.98461, 1.04461] ; [1.20416, 1.26416]
[-0.896061, -0.836061] ; [0.98486, 1.04486] ; [1.20388, 1.26388]
[-0.893224, -0.833224] ; [0.98494, 1.04494] ; [1.20364, 1.26364]
[-0.890327, -0.830327] ; [0.98508, 1.04508] ; [1.2034, 1.2634]
[-0.886905, -0.826905] ; [0.98502, 1.04502] ; [1.20248, 1.26248]
[-0.884457, -0.824457] ; [0.9854, 1.0454] ; [1.20291, 1.26291]
[-0.881524, -0.821524] ; [0.98561, 1.04561] ; [1.20266, 1.26266]
[-0.878539, -0.818539] ; [0.98576, 1.04576] ; [1.20251, 1.26251]
[-0.875465, -0.815465] ; [0.98593, 1.04593] ; [1.2023, 1.2623]
[-0.872485, -0.812485] ; [0.98608, 1.04608] ; [1.20214, 1.26214]
[-0.869066, -0.809066] ; [0.9861, 1.0461] ; [1.20143, 1.26143]
[-0.866383, -0.806383] ; [0.98646, 1.04646] ; [1.2019, 1.2619]
[-0.859682, -0.799682] ; [0.98648, 1.04648] ; [1.20113, 1.26113]
[-0.85714, -0.79714] ; [0.98693, 1.04693] ; [1.2017, 1.2617]
[-0.853537, -0.793537] ; [0.98684, 1.04684] ; [1.20108, 1.26108]
[-0.850346, -0.790346] ; [0.98694, 1.04694] ; [1.20106, 1.26106]
[-0.847704, -0.787704] ; [0.9874, 1.0474] ; [1.20175, 1.26175]
[-0.844586, -0.784586] ; [0.98763, 1.04763] ; [1.20178, 1.26178]
[-0.840437, -0.780437] ; [0.98734, 1.04734] ; [1.20046, 1.26046]
[-0.837761, -0.777761] ; [0.98779, 1.04779] ; [1.20131, 1.26131]
[-0.835041, -0.775041] ; [0.98816, 1.04816] ; [1.20199, 1.26199]
[-0.831373, -0.771373] ; [0.98814, 1.04814] ; [1.20144, 1.26144]
[-0.828155, -0.768155] ; [0.98833, 1.04833] ; [1.20154, 1.26154]
[-0.824943, -0.764943] ; [0.98853, 1.04853] ; [1.20173, 1.26173]
[-0.822197, -0.762197] ; [0.98899, 1.04899] ; [1.20247, 1.26247]
[-0.817887, -0.757887] ; [0.98868, 1.04868] ; [1.2013, 1.2613]
[-0.815141, -0.755141] ; [0.98916, 1.04916] ; [1.20221, 1.26221]
[-0.811269, -0.751269] ; [0.98905, 1.04905] ; [1.20163, 1.26163]
[-0.80818, -0.74818] ; [0.9893, 1.0493] ; [1.2018, 1.2618]
[-0.804875, -0.744875] ; [0.98945, 1.04945] ; [1.20203, 1.26203]
[-0.802076, -0.742076] ; [0.98983, 1.04983] ; [1.20294, 1.26294]
[-0.795541, -0.735541] ; [0.99014, 1.05014] ; [1.20325, 1.26325]
[-0.792244, -0.732244] ; [0.99023, 1.05023] ; [1.20345, 1.26345]
[-0.788303, -0.728303] ; [0.99005, 1.05005] ; [1.20298, 1.26298]
[-0.785696, -0.725696] ; [0.9905, 1.0505] ; [1.20401, 1.26401]
[-0.781334, -0.721334] ; [0.99015, 1.05015] ; [1.20295, 1.26295]
[-0.778433, -0.718433] ; [0.99041, 1.05041] ; [1.20389, 1.26389]
[-0.77507, -0.71507] ; [0.99052, 1.05052] ; [1.20416, 1.26416]
[-0.771425, -0.711425] ; [0.99048, 1.05048] ; [1.20372, 1.26372]
[-0.76817, -0.70817] ; [0.99065, 1.05065] ; [1.2041, 1.2641]
[-0.765231, -0.705231] ; [0.99086, 1.05086] ; [1.20501, 1.26501]
[-0.76257, -0.70257] ; [0.99123, 1.05123] ; [1.2061, 1.2661]
[-0.758791, -0.698791] ; [0.99103, 1.05103] ; [1.20579, 1.26579]
[-0.758791, -0.698791] ; [0.99103, 1.05103] ; [1.20579, 1.26579]
[-0.751957, -0.691957] ; [0.9911, 1.0511] ; [1.2065, 1.2665]
[-0.748861, -0.688861] ; [0.99127, 1.05127] ; [1.20693, 1.26693]
[-0.744927, -0.684927] ; [0.99102, 1.05102] ; [1.20658, 1.26658]
[-0.74166, -0.68166] ; [0.99119, 1.05119] ; [1.20699, 1.26699]
[-0.738733, -0.678733] ; [0.99139, 1.05139] ; [1.20799, 1.26799]
[-0.734676, -0.674676] ; [0.99113, 1.05113] ; [1.20762, 1.26762]
[-0.731121, -0.671121] ; [0.99101, 1.05101] ; [1.20746, 1.26746]
[-0.728379, -0.668379] ; [0.99129, 1.05129] ; [1.2086, 1.2686]
[-0.725441, -0.665441] ; [0.99143, 1.05143] ; [1.20969, 1.26969]
[-0.717796, -0.657796] ; [0.99096, 1.05096] ; [1.20924, 1.26924]
[-0.715026, -0.655026] ; [0.99118, 1.05118] ; [1.21037, 1.27037]
[-0.712102, -0.652102] ; [0.99128, 1.05128] ; [1.21144, 1.27144]
[-0.70835, -0.64835] ; [0.99112, 1.05112] ; [1.21125, 1.27125]
[-0.704475, -0.644475] ; [0.99085, 1.05085] ; [1.21104, 1.27104]
[-0.70115, -0.64115] ; [0.9908, 1.0508] ; [1.21147, 1.27147]
[-0.698406, -0.638406] ; [0.99103, 1.05103] ; [1.21261, 1.27261]
[-0.694534, -0.634534] ; [0.99072, 1.05072] ; [1.21245, 1.27245]
[-0.691199, -0.631199] ; [0.99061, 1.05061] ; [1.21292, 1.27292]
[-0.687879, -0.627879] ; [0.99054, 1.05054] ; [1.21344, 1.27344]
[-0.685123, -0.625123] ; [0.99069, 1.05069] ; [1.21456, 1.27456]
[-0.681894, -0.621894] ; [0.99065, 1.05065] ; [1.21513, 1.27513]
[-0.677983, -0.617983] ; [0.9903, 1.0503] ; [1.21493, 1.27493]
[-0.674736, -0.614736] ; [0.99023, 1.05023] ; [1.21546, 1.27546]
[-0.67142, -0.61142] ; [0.99014, 1.05014] ; [1.21594, 1.27594]
[-0.668195, -0.608195] ; [0.99005, 1.05005] ; [1.2165, 1.2765]
[-0.664898, -0.604898] ; [0.9899, 1.0499] ; [1.21701, 1.27701]
[-0.658535, -0.598535] ; [0.98943, 1.04943] ; [1.21825, 1.27825]
[-0.655303, -0.595303] ; [0.98936, 1.04936] ; [1.21881, 1.27881]
[-0.652636, -0.592636] ; [0.98948, 1.04948] ; [1.22002, 1.28002]
[-0.64889, -0.58889] ; [0.98927, 1.04927] ; [1.2201, 1.2801]
[-0.645616, -0.585616] ; [0.98896, 1.04896] ; [1.22038, 1.28038]
[-0.642407, -0.582407] ; [0.98884, 1.04884] ; [1.22093, 1.28093]
[-0.639208, -0.579208] ; [0.98884, 1.04884] ; [1.22173, 1.28173]
[-0.63595, -0.57595] ; [0.98862, 1.04862] ; [1.22206, 1.28206]
[-0.632693, -0.572693] ; [0.98844, 1.04844] ; [1.22258, 1.28258]
[-0.62943, -0.56943] ; [0.98832, 1.04832] ; [1.22311, 1.28311]
[-0.626313, -0.566313] ; [0.98831, 1.04831] ; [1.22397, 1.28397]
[-0.623075, -0.563075] ; [0.98816, 1.04816] ; [1.22449, 1.28449]
[-0.619854, -0.559854] ; [0.988, 1.048] ; [1.22507, 1.28507]
[-0.616597, -0.556597] ; [0.98783, 1.04783] ; [1.22562, 1.28562]
[-0.613417, -0.553417] ; [0.98764, 1.04764] ; [1.22619, 1.28619]
[-0.610175, -0.550175] ; [0.98751, 1.04751] ; [1.22674, 1.28674]
